trigger_word,theme,source_lexicon,section,count,per_1000_words,context_snippet,symbol,filing_date,call_date,url
one-off,negative_caution,custom,QnA,1,0.16100466913540493,"es. So, if you could just give us some explanation, what has happened there and is that a one-off event then next quarter they will bounce back? Gaurav Somani: Hi Vikas this is Gau",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
capex,capital_actions,custom,QnA,16,2.576074706166479,"onsolidated accounts as per IndAS. Vikas Singh: Understood. Sir, secondly in terms of our CAPEX basically to 9 lakh tonne capacity by what timeframe this capacity would come and wh",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
qip,capital_actions,custom,QnA,2,0.32200933827080985,"nd raising exercise as well. So, when you go to Board for the CAPEX then can you keep the QIP option open as well, because the bouncy in equity market and the growth continuity whi",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
debt reduction,capital_actions,custom,QnA,1,0.16100466913540493,"nal accrual funds available, the Company will not be borrowing for that. Vikas Singh: So, debt reduction story would take a pause for some time, because we can't see both debt redu",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
fund raising,capital_actions,custom,QnA,2,0.32200933827080985,"t existing players, and the sentiments of the existing market we are giving importance to fund raising exercise as well. So, when you go to Board for the CAPEX then can you keep th",ELECTCAST,2024-05-20,2024-05-20,https://nsearchives.nseindia.com/corporate/ELECTCAST_20052024124458_Intimationundereg30transcript.pdf
order book,positive_guidance,custom,remarks,13,1.4937377915661265,"one into strengthening manufacturing infrastructure and commissioning new facilities. Our order book position as on April 1, 2025 stood at INR1,832 crores, providing good visibilit",MIDHANI,2025-06-10,,https://nsearchives.nseindia.com/corporate/MIDHANI_10062025143032_MDN_Transcript_Q4_June2025.pdf
margin expansion,positive_guidance,custom,remarks,1,0.1149029070435482,"g ahead, how do you see the business and the top line panning out? And how do you see the margin expansion? Do you see any margin expansion happening in the following year? S.V.S. ",MIDHANI,2025-06-10,,https://nsearchives.nseindia.com/corporate/MIDHANI_10062025143032_MDN_Transcript_Q4_June2025.pdf
capex,capital_actions,custom,remarks,7,0.8043203493048374,"p and customer relationships mature. On the capital investment side, we have undertaken a capex of INR50 crores this year, which has gone into strengthening manufacturing infrastru",MIDHANI,2025-06-10,,https://nsearchives.nseindia.com/corporate/MIDHANI_10062025143032_MDN_Transcript_Q4_June2025.pdf
order book,positive_guidance,custom,remarks,27,2.9807904614705234,pacity additions are now happening across all eight windy states. This can be seen in the order book state mix in the latest investor presentation. There will also be pooling of ta,SUZLON,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/SUZLON_05022024150402_Suzlon05022024.pdf
headwinds,negative_caution,custom,remarks,1,0.11039964672113049,"obviously delays. That's the point which I was making earlier. As a sector, we are facing headwinds in terms of capacity to capacity buildup for doing the BOP work, on-ground work.",SUZLON,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/SUZLON_05022024150402_Suzlon05022024.pdf
capex,capital_actions,custom,remarks,6,0.6623978803267829,"ening now? Jayarama Chalasani: See, erection capacity, there is nothing that's called the capex, which is required. So what is required is your organization bandwidth increases. Fo",SUZLON,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/SUZLON_05022024150402_Suzlon05022024.pdf
operating leverage,positive_guidance,custom,remarks,1,0.44130626654898497,ng cash flow generative businesses. We have a culture of investing in technology to drive operating leverage at a higher scale and thereby creating a virtuous flywheel. Over the la,CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
slowdown,negative_caution,custom,remarks,1,0.44130626654898497,"or fresh ATM deployments, even for those orders that they had won last year. Further, the slowdown in consumption is weighing on ATM transactions. BLA deployers are preferring to w",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
muted,negative_caution,custom,remarks,1,0.44130626654898497,"our Q1 FY26 analyst call. In a seasonally weak quarter marked by geopolitical issues and muted consumption. We delivered a consolidated revenue of INR627 crores, up 5% year-on-year",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
capex,capital_actions,custom,remarks,1,0.44130626654898497,to support both our organic growth and strategic acquisitions like Securens. Our current capex guidance for the year stands as INR250 crores to INR300 crores versus the initial gui,CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
order book,positive_guidance,custom,QnA,8,0.8507018290089323,"nush Raghavan: Let me take the first two questions, Prithvish. So, I think as soon as the order book and its translation revenue is concerned, we may have spoken about this in the ",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
operating leverage,positive_guidance,custom,QnA,3,0.31901318587834965,rrency being picked up and processed. So that does get affected and therefore has both an operating leverage or a de leverage in moments when there is variability. So I think we've,CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
slowdown,negative_caution,custom,QnA,5,0.5316886431305827,"e ATM transaction, so in your view and how you read the industry, is it purely because of slowdown in the overall consumption and the economy or there are some other factors also a",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
muted,negative_caution,custom,QnA,1,0.10633772862611654,"Indian economy, a little bit more so now, especially with broader consumption being more muted and tepid. Krushi Parekh: Okay. Thank you. I will join back in the queue. Moderator: ",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
capex,capital_actions,custom,QnA,2,0.21267545725223308,"nvestments have gone in right and the revenue accrual will start in the later part of the capex investments have been made. Therefore that impacts a bit, but the revenue accrual wi",CMSINFO,2025-07-29,,https://nsearchives.nseindia.com/corporate/CMSINFO_29072025183227_TranscriptOfEarningsCallSDuploaded.pdf
order book,positive_guidance,custom,remarks,2,1.5349194167306217,"f asset base enabling efficient execution reflected in strong revenue growth. Our healthy order book of 11,936 crores ensures substantial growth momentum. Page 2 of 18 J Kumar Infr",JKIL,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf
headwinds,negative_caution,custom,remarks,1,0.7674597083653109,"erating activities and on track to achieve the targeted growth. Despite the unprecedented headwinds due to geopolitical uncertainties, rising commodity and logistics cost, JKIL has",JKIL,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf
order book,positive_guidance,custom,QnA,16,2.232142857142857,"with the top line, but still sir just doing a rough calculation. So we have 11,900 crore order book so even if we do at least two and a half, three years would be the execution per",JKIL,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf
strong pipeline,positive_guidance,custom,QnA,1,0.13950892857142858,"h are close to around 20% has already been achieved in the quarter one and looking at the strong pipeline of the order book which is close to around 20,000 crores we expect even wi",JKIL,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf
capex,capital_actions,custom,QnA,3,0.4185267857142857,"not be an issue and at our margin of 14% to 15%. Shravan Shah: Okay. And in terms of the CAPEX number, how much do we want to spend this year? Nalin Gupta: So close to around Rs.10",JKIL,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf
order book,positive_guidance,custom,remarks,7,0.7686395080707148,"th from. Sona Comstar – Q1 FY25 Earnings Call Page 2 of 17 We continue to build on our EV order book. At the end of Q1, we have 27 EV programs in production, 12 of which are mature",SONACOMS,2024-07-30,2024-07-30,https://nsearchives.nseindia.com/corporate/SONACOMS_30072024095110_Transcript.pdf
operating leverage,positive_guidance,custom,remarks,1,0.10980564401010212,"DA and net profit increased by 23% and 27% respectively. Our margins have improved due to operating leverage, that's the core reason for the growth being higher than revenue growth",SONACOMS,2024-07-30,2024-07-30,https://nsearchives.nseindia.com/corporate/SONACOMS_30072024095110_Transcript.pdf
slowdown,negative_caution,custom,remarks,3,0.32941693203030636,"he first time, the ICE dependent revenue shrink to single digits to merely 9%. The demand slowdown in Europe has meant that the revenue share from hybrid and micro hybrid has been ",SONACOMS,2024-07-30,2024-07-30,https://nsearchives.nseindia.com/corporate/SONACOMS_30072024095110_Transcript.pdf
muted,negative_caution,custom,remarks,1,0.10980564401010212,"ase go ahead. Moderator: Ok, thank you. The first question goes to Aditya, your line is unmuted, please go ahead with your two questions. Aditya Jhawar: Thanks! Hi Vivek, can you h",SONACOMS,2024-07-30,2024-07-30,https://nsearchives.nseindia.com/corporate/SONACOMS_30072024095110_Transcript.pdf
headwinds,negative_caution,custom,remarks,1,0.38744672607516467,"interest rate, and we don’t anticipate a significant near-term reduction given the global headwinds. The NIMs are likely to continue to remain under pressure due to this and also d",AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
under pressure,negative_caution,custom,remarks,1,0.38744672607516467,near-term reduction given the global headwinds. The NIMs are likely to continue to remain under pressure due to this and also due to the heightened competition for low-cost deposit,AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
slowdown,negative_caution,custom,QnA,1,0.14779781259237362,"d a point, if I want to push more high yield, it can be counterproductive. There can be a slowdown in our growth rate, right? So, idea is more to have a high ROA-led businesses to ",AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
one-off,negative_caution,custom,QnA,2,0.29559562518474725,"ore buffers, and we are able to put more expenses in that year itself so that there is no one-off in coming years. And Rs. 50 crores, Rs. 60-odd crores in the next 2 years will be ",AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
come back to you,hedging_evasion,custom,QnA,2,0.29559562518474725,"24, 2024 Prince Tiwari: So, it will be around 20% to 21% (Corrected 19%-20%). But we can come back to you with that number. Pritesh Bumb: So, approximately 21%, 22% is the Tier-1 w",AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
capex,capital_actions,custom,QnA,3,0.4433934377771209,"Vivek Tripathi: See, in terms of the rolling out AD1, we have already rolled out. So, the CAPEX part has been already incurred. Only a few parts of the AMC or the operational part,",AUBANK,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf
capex,capital_actions,custom,remarks,2,0.5279831045406547,"achievement for this year, mainly driven by optimization in working capital and also low capex. As we mentioned earlier also, we have actually strong infrastructure in manufacturin",VIYASH,2024-11-22,,https://nsearchives.nseindia.com/corporate/SEQUENT_22112024185026_SeQuentScientific-Earnings-Nov14-2024transcript.pdf
cannot comment,hedging_evasion,custom,QnA,1,0.19900497512437812,"th Trump taking office? Or do you think it will aid the passing of this act? Hari Babu: I cannot comment that level. But at a personal level, I don't see any risk it's going to hap",VIYASH,2024-11-22,,https://nsearchives.nseindia.com/corporate/SEQUENT_22112024185026_SeQuentScientific-Earnings-Nov14-2024transcript.pdf
order book,positive_guidance,custom,QnA,7,1.371473354231975,"e damage cost is there? Please explain. Sir, my second question is, in the prior '23, the order book of the company was INR177 crores, and now it is INR104 crores. And in the quart",CUPID,2023-08-07,2023-08-07,https://nsearchives.nseindia.com/corporate/CUPID_07082023124043_Q1FY24_Concall_Transcript.pdf
capex,capital_actions,custom,QnA,5,0.9796238244514106,"egment has a very huge scope. And what company expects in future over this? And any major capex in this segment in coming 2, 3 years? Omprakash Garg: Yes. The scope for IVD sales i",CUPID,2023-08-07,2023-08-07,https://nsearchives.nseindia.com/corporate/CUPID_07082023124043_Q1FY24_Concall_Transcript.pdf
buyback,capital_actions,custom,QnA,3,0.5877742946708464,"y has total INR100 crores in cash and investment part. Is company management any capex or buyback, dividend, etcetera, in the coming 2, 3 years? Omprakash Garg: Yes. We have consid",CUPID,2023-08-07,2023-08-07,https://nsearchives.nseindia.com/corporate/CUPID_07082023124043_Q1FY24_Concall_Transcript.pdf
fund raising,capital_actions,custom,remarks,2,1.1668611435239207,"SDOF II launched in September 2020, has an AUM of ₹ 507 Crore, and the fund is currently Fund raising as well as investing stage. UTI Multi Opportunity Fund I launched in March 202",UTIAMC,2023-08-02,2023-08-02,https://nsearchives.nseindia.com/corporate/UTIAMC_02082023163555_Disclosure.pdf
headwinds,negative_caution,custom,QnA,1,0.17992083483267363,"As we have been mentioning in our previous quarterly calls also, we have been facing some headwinds in the performance of our flagship equity fund. It is important to mention here ",UTIAMC,2023-08-02,2023-08-02,https://nsearchives.nseindia.com/corporate/UTIAMC_02082023163555_Disclosure.pdf
headwinds,negative_caution,custom,remarks,1,0.1724137931034483,"in domestic markets, along with higher traded Ammonia sales. These measures overcame the headwinds in other major industrial products, Page 2 of 12 Gujarat State Fertilizers & Chem",GSFC,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf
cost pressure,negative_caution,custom,remarks,1,0.1724137931034483,"d from the short duration hot weather crop is expected. While the industry may experience cost pressures from the elevated prices of key inputs such as Phosphoric Acid and Sulphur,",GSFC,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf
let us see,hedging_evasion,custom,remarks,1,0.1724137931034483,"izer Nagar Complex. As far as Phosphoric Acid is concerned, the prices are very high. But let us see how it comes in the next quarter and the government subsidy fixation based on t",GSFC,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf
capex,capital_actions,custom,remarks,4,0.6896551724137931,ertilizers up to 1st week of January 2026. This provides the foundation for advancing our CAPEX roadmap as detailed in the investor presentation. The Sulphuric Acid-V project was c,GSFC,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf
capital expenditure,capital_actions,custom,remarks,1,0.1724137931034483,"the old rate. So, that will benefit as a payback period of 5 years’ time for GSFC of the capital expenditure of around Rs. 350 crores to Rs. 400 crores. Nirav Jimudia: So, every ye",GSFC,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf
operating leverage,positive_guidance,custom,QnA,1,0.13610997686130394,"ing expenses is much lower than the increase in Retail loan book of 18%, driving positive operating leverage for the Company. Our Opex to ATA for Q1 is 1.02%. We continue to mainta",PNBHOUSING,2025-07-31,,https://nsearchives.nseindia.com/corporate/PNBHOUSING_31072025161414_Earnings_call_Transcript_July_22_2025.pdf
muted,negative_caution,custom,QnA,2,0.2722199537226079,"terms of this asset quality piece in the Affordable housing, while the numbers are still muted, but let us say whatever customer segment that you are serving, according to you, wha",PNBHOUSING,2025-07-31,,https://nsearchives.nseindia.com/corporate/PNBHOUSING_31072025161414_Earnings_call_Transcript_July_22_2025.pdf
capacity expansion,positive_guidance,custom,QnA,1,0.27824151363383415,"have demonstrated and will continue to do so in the future. Moving on to an update on our capacity expansion, I know that there would be a lot of questions in this area. We have ma",TCPLPACK,2022-02-15,,https://nsearchives.nseindia.com/corporate/TCPLPACK_15022022112852_Transcript_Conference_Call.pdf
operating leverage,positive_guidance,custom,QnA,2,0.5564830272676683,"overall basis, because of this new capex that is coming online, can we expect any kind of operating leverage, capacity operating leverage playing out maybe in the next year? And th",TCPLPACK,2022-02-15,,https://nsearchives.nseindia.com/corporate/TCPLPACK_15022022112852_Transcript_Conference_Call.pdf
cannot comment,hedging_evasion,custom,QnA,1,0.27824151363383415,"ause at the end of the end, the expenses are over a wider sales footprint. But margins, I cannot comment right now that it will increase further. I do not think it will increase fu",TCPLPACK,2022-02-15,,https://nsearchives.nseindia.com/corporate/TCPLPACK_15022022112852_Transcript_Conference_Call.pdf
capex,capital_actions,custom,QnA,5,1.391207568169171,"of quarters at the most. Pavan Kumar: Okay. So, on an overall basis, because of this new capex that is coming online, can we expect any kind of operating leverage, capacity operati",TCPLPACK,2022-02-15,,https://nsearchives.nseindia.com/corporate/TCPLPACK_15022022112852_Transcript_Conference_Call.pdf
capacity expansion,positive_guidance,custom,QnA,1,0.17319016279875304,"the opportunity, sir. Just wanted to get a sense of some of the capex update, both on the capacity expansions that are going on. And any update you can give us on the petrochemical",PETRONET,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/PETRONET_05022024174823_intimationtranscriptsigned.pdf
capex,capital_actions,custom,QnA,3,0.5195704883962591,"Probal Sen: Thank you for the opportunity, sir. Just wanted to get a sense of some of the capex update, both on the capacity expansions that are going on. And any update you can gi",PETRONET,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/PETRONET_05022024174823_intimationtranscriptsigned.pdf
