Symbol,Industry
DELTACORP,SERVICES
DHANUKA,FERTILISERS & PESTICIDES
DBL,CONSTRUCTION
DISHTV,MEDIA & ENTERTAINMENT
DCAL,PHARMA
DIVISLAB,PHARMA
DIXON,CONSUMER GOODS
LALPATHLAB,HEALTHCARE SERVICES
DRREDDY,PHARMA
EIDPARRY,FERTILISERS & PESTICIDES
EIHOTEL,SERVICES
ESABINDIA,INDUSTRIAL MANUFACTURING
EDELWEISS,FINANCIAL SERVICES
EICHERMOT,AUTOMOBILE
ELGIEQUIP,INDUSTRIAL MANUFACTURING
EMAMILTD,CONSUMER GOODS
ENDURANCE,AUTOMOBILE
ENGINERSIN,CONSTRUCTION
EQUITAS,FINANCIAL SERVICES
ERIS,PHARMA
ESCORTS,AUTOMOBILE
ESSELPACK,INDUSTRIAL MANUFACTURING
EXIDEIND,AUTOMOBILE
FDC,PHARMA
FEDERALBNK,FINANCIAL SERVICES
FINEORG,CHEMICALS
FINCABLES,INDUSTRIAL MANUFACTURING
FINPIPE,INDUSTRIAL MANUFACTURING
FSL,IT
FORTIS,HEALTHCARE SERVICES
FCONSUMER,CONSUMER GOODS
FRETAIL,CONSUMER GOODS
GAIL,OIL & GAS
GEPIL,INDUSTRIAL MANUFACTURING
GET&D,INDUSTRIAL MANUFACTURING
GHCL,CHEMICALS
GMMPFAUDLR,INDUSTRIAL MANUFACTURING
GMRINFRA,CONSTRUCTION
GALAXYSURF,CHEMICALS
GRSE,INDUSTRIAL MANUFACTURING
GARFIBRES,TEXTILES
GICRE,FINANCIAL SERVICES
GILLETTE,CONSUMER GOODS
GLAXO,PHARMA
GLENMARK,PHARMA
GODFRYPHLP,CONSUMER GOODS
GODREJAGRO,CONSUMER GOODS
GODREJCP,CONSUMER GOODS
GODREJIND,CONSUMER GOODS
GODREJPROP,CONSTRUCTION
GRANULES,PHARMA
GRAPHITE,INDUSTRIAL MANUFACTURING
GRASIM,CEMENT & CEMENT PRODUCTS
GESHIP,SERVICES
GREAVESCOT,INDUSTRIAL MANUFACTURING
GRINDWELL,INDUSTRIAL MANUFACTURING
GUJALKALI,CHEMICALS
FLUOROCHEM,CHEMICALS
GUJGASLTD,OIL & GAS
GMDCLTD,METALS
GNFC,CHEMICALS
GPPL,SERVICES
GSFC,FERTILISERS & PESTICIDES
GSPL,OIL & GAS
GULFOILLUB,OIL & GAS
HEG,INDUSTRIAL MANUFACTURING
HCLTECH,IT
HDFCAMC,FINANCIAL SERVICES
HDFCBANK,FINANCIAL SERVICES
HDFCLIFE,FINANCIAL SERVICES
HFCL,TELECOM
HATHWAY,MEDIA & ENTERTAINMENT
HATSUN,CONSUMER GOODS
HAVELLS,CONSUMER GOODS
HEIDELBERG,CEMENT & CEMENT PRODUCTS
HERITGFOOD,CONSUMER GOODS
HEROMOTOCO,AUTOMOBILE
HEXAWARE,IT
HSCL,CHEMICALS
HIMATSEIDE,TEXTILES
HINDALCO,METALS
HAL,INDUSTRIAL MANUFACTURING
HINDCOPPER,METALS
HINDPETRO,OIL & GAS
HINDUNILVR,CONSUMER GOODS
HINDZINC,METALS
HONAUT,INDUSTRIAL MANUFACTURING
HUDCO,FINANCIAL SERVICES
HDFC,FINANCIAL SERVICES
ICICIBANK,FINANCIAL SERVICES
ICICIGI,FINANCIAL SERVICES
ICICIPRULI,FINANCIAL SERVICES
ISEC,FINANCIAL SERVICES
ICRA,FINANCIAL SERVICES
IDBI,FINANCIAL SERVICES
IDFCFIRSTB,FINANCIAL SERVICES
IDFC,FINANCIAL SERVICES
IFBIND,CONSUMER GOODS
IFCI,FINANCIAL SERVICES
IIFL,FINANCIAL SERVICES
IIFLWAM,FINANCIAL SERVICES
IRB,CONSTRUCTION
IRCON,CONSTRUCTION
ITC,CONSUMER GOODS
ITI,TELECOM
INDIACEM,CEMENT & CEMENT PRODUCTS
ITDC,SERVICES
IBULHSGFIN,FINANCIAL SERVICES
IBREALEST,CONSTRUCTION
IBVENTURES,FINANCIAL SERVICES
INDIAMART,CONSUMER GOODS
INDIANB,FINANCIAL SERVICES
IEX,FINANCIAL SERVICES
INDHOTEL,SERVICES
IOC,OIL & GAS
IOB,FINANCIAL SERVICES
IRCTC,SERVICES
INDOSTAR,FINANCIAL SERVICES
INDOCO,PHARMA
IGL,OIL & GAS
INDUSINDBK,FINANCIAL SERVICES
INFIBEAM,IT
NAUKRI,IT
INFY,IT
INGERRAND,INDUSTRIAL MANUFACTURING
INOXLEISUR,MEDIA & ENTERTAINMENT
INTELLECT,IT
INDIGO,SERVICES
IPCALAB,PHARMA
JBCHEPHARM,PHARMA
JKCEMENT,CEMENT & CEMENT PRODUCTS
JKLAKSHMI,CEMENT & CEMENT PRODUCTS
JKPAPER,PAPER
JKTYRE,AUTOMOBILE
JMFINANCIL,FINANCIAL SERVICES
JSWENERGY,POWER
JSWSTEEL,METALS
JAGRAN,MEDIA & ENTERTAINMENT
JAICORPLTD,INDUSTRIAL MANUFACTURING
J&KBANK,FINANCIAL SERVICES
JAMNAAUTO,AUTOMOBILE
JINDALSAW,METALS
JSLHISAR,METALS
JSL,METALS
JINDALSTEL,METALS
JCHAC,CONSUMER GOODS
JUBLFOOD,CONSUMER GOODS
JUBILANT,PHARMA
JUSTDIAL,IT
JYOTHYLAB,CONSUMER GOODS
KPRMILL,TEXTILES
KEI,INDUSTRIAL MANUFACTURING
KNRCON,CONSTRUCTION
KPITTECH,IT
KRBL,CONSUMER GOODS
KSB,INDUSTRIAL MANUFACTURING
KAJARIACER,CONSTRUCTION
KALPATPOWR,POWER
KANSAINER,CONSUMER GOODS
KTKBANK,FINANCIAL SERVICES
KARURVYSYA,FINANCIAL SERVICES
KSCL,CONSUMER GOODS
KEC,CONSTRUCTION
KOLTEPATIL,CONSTRUCTION
KOTAKBANK,FINANCIAL SERVICES
L&TFH,FINANCIAL SERVICES
LTTS,IT
LICHSGFIN,FINANCIAL SERVICES
LAOPALA,CONSUMER GOODS
LAXMIMACH,INDUSTRIAL MANUFACTURING
LTI,IT
LT,CONSTRUCTION
LAURUSLABS,PHARMA
LEMONTREE,SERVICES
LINDEINDIA,CHEMICALS
LUPIN,PHARMA
LUXIND,TEXTILES
MASFIN,FINANCIAL SERVICES
MMTC,SERVICES
MOIL,METALS
MRF,AUTOMOBILE
MGL,OIL & GAS
MAHSCOOTER,AUTOMOBILE
MAHSEAMLES,METALS
M&MFIN,FINANCIAL SERVICES
M&M,AUTOMOBILE
MAHINDCIE,INDUSTRIAL MANUFACTURING
MHRIL,SERVICES
MAHLOG,SERVICES
MANAPPURAM,FINANCIAL SERVICES
MRPL,OIL & GAS
MARICO,CONSUMER GOODS
MARUTI,AUTOMOBILE
MFSL,FINANCIAL SERVICES
METROPOLIS,HEALTHCARE SERVICES
MINDTREE,IT
MINDACORP,AUTOMOBILE
MINDAIND,AUTOMOBILE
MIDHANI,METALS
MOTHERSUMI,AUTOMOBILE
MOTILALOFS,FINANCIAL SERVICES
MPHASIS,IT
MCX,FINANCIAL SERVICES
MUTHOOTFIN,FINANCIAL SERVICES
NATCOPHARM,PHARMA
NBCC,CONSTRUCTION
NCC,CONSTRUCTION
NESCO,SERVICES
NHPC,POWER
NIITTECH,IT
NLCINDIA,POWER
NMDC,METALS
NTPC,POWER
NH,HEALTHCARE SERVICES
NATIONALUM,METALS
NFL,FERTILISERS & PESTICIDES
NBVENTURES,POWER
NAVINFLUOR,CHEMICALS
NESTLEIND,CONSUMER GOODS
NILKAMAL,INDUSTRIAL MANUFACTURING
NAM-INDIA,FINANCIAL SERVICES
OBEROIRLTY,CONSTRUCTION
ONGC,OIL & GAS
OIL,OIL & GAS
OMAXE,CONSTRUCTION
OFSS,IT
ORIENTCEM,CEMENT & CEMENT PRODUCTS
ORIENTELEC,CONSUMER GOODS
ORIENTREF,INDUSTRIAL MANUFACTURING
PIIND,FERTILISERS & PESTICIDES
PNBHOUSING,FINANCIAL SERVICES
PNCINFRA,CONSTRUCTION
PTC,POWER
PVR,MEDIA & ENTERTAINMENT
PAGEIND,TEXTILES
PERSISTENT,IT
PETRONET,OIL & GAS
PFIZER,PHARMA
PHILIPCARB,CHEMICALS
PHOENIXLTD,CONSTRUCTION
PIDILITIND,CHEMICALS
PEL,FINANCIAL SERVICES
POLYMED,PHARMA
POLYCAB,INDUSTRIAL MANUFACTURING
PFC,FINANCIAL SERVICES
POWERGRID,POWER
PRAJIND,INDUSTRIAL MANUFACTURING
PRESTIGE,CONSTRUCTION
PRSMJOHNSN,CEMENT & CEMENT PRODUCTS
PGHL,PHARMA
PGHH,CONSUMER GOODS
PNB,FINANCIAL SERVICES
QUESS,SERVICES
RBLBANK,FINANCIAL SERVICES
RECLTD,FINANCIAL SERVICES
RITES,SERVICES
RADICO,CONSUMER GOODS
RVNL,CONSTRUCTION
RAIN,CHEMICALS
RAJESHEXPO,CONSUMER GOODS
RALLIS,FERTILISERS & PESTICIDES
RCF,FERTILISERS & PESTICIDES
RATNAMANI,METALS
RAYMOND,TEXTILES
REDINGTON,SERVICES
RELAXO,CONSUMER GOODS
RELIANCE,OIL & GAS
REPCOHOME,FINANCIAL SERVICES
SBILIFE,FINANCIAL SERVICES
SJVN,POWER
SKFINDIA,INDUSTRIAL MANUFACTURING
SRF,INDUSTRIAL MANUFACTURING
SADBHAV,CONSTRUCTION
SANOFI,PHARMA
SCHAEFFLER,INDUSTRIAL MANUFACTURING
SCHNEIDER,INDUSTRIAL MANUFACTURING
SIS,SERVICES
SEQUENT,PHARMA
SFL,CONSUMER GOODS
SCI,SERVICES
SHOPERSTOP,CONSUMER GOODS
SHREECEM,CEMENT & CEMENT PRODUCTS
RENUKA,CONSUMER GOODS
SHRIRAMCIT,FINANCIAL SERVICES
SRTRANSFIN,FINANCIAL SERVICES
SIEMENS,INDUSTRIAL MANUFACTURING
SOBHA,CONSTRUCTION
SOLARINDS,CHEMICALS
SONATSOFTW,IT
SOUTHBANK,FINANCIAL SERVICES
SPANDANA,FINANCIAL SERVICES
SPICEJET,SERVICES
STARCEMENT,CEMENT & CEMENT PRODUCTS
SBIN,FINANCIAL SERVICES
SAIL,METALS
SWSOLAR,CONSTRUCTION
STRTECH,TELECOM
STAR,PHARMA
SUDARSCHEM,CHEMICALS
SUMICHEM,CHEMICALS
SPARC,PHARMA
SUNPHARMA,PHARMA
SUNTV,MEDIA & ENTERTAINMENT
SUNDARMFIN,FINANCIAL SERVICES
SUNDRMFAST,AUTOMOBILE
SUNTECK,CONSTRUCTION
SUPRAJIT,AUTOMOBILE
SUPREMEIND,INDUSTRIAL MANUFACTURING
SUZLON,INDUSTRIAL MANUFACTURING
SWANENERGY,CONSTRUCTION
SYMPHONY,CONSUMER GOODS
SYNGENE,PHARMA
TCIEXP,SERVICES
TCNSBRANDS,TEXTILES
TTKPRESTIG,CONSUMER GOODS
TVTODAY,MEDIA & ENTERTAINMENT
TV18BRDCST,MEDIA & ENTERTAINMENT
TVSMOTOR,AUTOMOBILE
TAKE,PHARMA
TASTYBITE,CONSUMER GOODS
TATACOMM,TELECOM
TCS,IT
TATACONSUM,CONSUMER GOODS
TATAELXSI,IT
TATAINVEST,FINANCIAL SERVICES
TATAMTRDVR,AUTOMOBILE
TATAMOTORS,AUTOMOBILE
TATAPOWER,POWER
TATASTLBSL,METALS
TATASTEEL,METALS
TEAMLEASE,SERVICES
TECHM,IT
NIACL,FINANCIAL SERVICES
RAMCOCEM,CEMENT & CEMENT PRODUCTS
THERMAX,INDUSTRIAL MANUFACTURING
THYROCARE,HEALTHCARE SERVICES
TIMETECHNO,INDUSTRIAL MANUFACTURING
TIMKEN,INDUSTRIAL MANUFACTURING
TITAN,CONSUMER GOODS
TORNTPHARM,PHARMA
TORNTPOWER,POWER
TRENT,CONSUMER GOODS
TRIDENT,TEXTILES
TIINDIA,AUTOMOBILE
UCOBANK,FINANCIAL SERVICES
UFLEX,INDUSTRIAL MANUFACTURING
UPL,FERTILISERS & PESTICIDES
UJJIVAN,FINANCIAL SERVICES
UJJIVANSFB,FINANCIAL SERVICES
ULTRACEMCO,CEMENT & CEMENT PRODUCTS
UNIONBANK,FINANCIAL SERVICES
UBL,CONSUMER GOODS
MCDOWELL-N,CONSUMER GOODS
VGUARD,CONSUMER GOODS
VMART,CONSUMER GOODS
VIPIND,CONSUMER GOODS
VRLLOG,SERVICES
VSTIND,CONSUMER GOODS
VAIBHAVGBL,CONSUMER GOODS
VAKRANGEE,IT
VTL,TEXTILES
VARROC,AUTOMOBILE
VBL,CONSUMER GOODS
VEDL,METALS
VENKEYS,CONSUMER GOODS
VESUVIUS,INDUSTRIAL MANUFACTURING
VINATIORGA,CHEMICALS
IDEA,TELECOM
VOLTAS,CONSUMER GOODS
WABCOINDIA,AUTOMOBILE
WELCORP,METALS
WELSPUNIND,TEXTILES
WESTLIFE,SERVICES
WHIRLPOOL,CONSUMER GOODS
WIPRO,IT
WOCKPHARMA,PHARMA
ZEEL,MEDIA & ENTERTAINMENT
ZENSARTECH,IT
ZYDUSWELL,CONSUMER GOODS
ECLERX,IT
